City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
109,ambodifotatra,-16.9833,49.85,24.78,80,4,7.62,MG,1696249009
110,st. john's,47.5649,-52.7093,13.49,94,75,1.54,CA,1696249123
111,ribeira grande,38.5167,-28.7,22.22,49,20,5.36,PT,1696249242
112,bilibino,68.0546,166.4372,-4.47,98,98,1.18,RU,1696249242
113,fale old settlement,-9.3852,-171.2468,27.89,77,69,0.56,TK,1696249243
114,tidjikja,18.5564,-11.4271,37.38,11,38,3.62,MR,1696249243
115,egilsstadir,65.2653,-14.3948,6.95,93,100,12.86,IS,1696249243
116,ust-nera,64.5667,143.2,1.79,56,34,2.68,RU,1696249244
117,demerval lobao,-5.3583,-42.6764,29.67,30,90,2.89,BR,1696249244
118,port elizabeth,-33.918,25.5701,24.62,52,0,6.17,ZA,1696249068
119,podgornoye,51.735,39.1496,14.23,88,75,3.0,RU,1696249245
120,saint-francois,46.4154,3.9054,25.69,50,0,1.54,FR,1696249245
121,coquimbo,-29.9533,-71.3436,12.85,87,75,0.0,CL,1696249245
122,thompson,55.7435,-97.8558,2.09,100,100,2.57,CA,1696249246
123,klyuchi,52.2667,79.1667,11.12,41,0,3.38,RU,1696249246
124,sao miguel do araguaia,-13.275,-50.1628,36.17,26,54,2.3,BR,1696249246
125,port-gentil,-0.7193,8.7815,29.98,70,40,6.17,GA,1696249247
126,bannu,32.9854,70.6027,33.47,13,0,3.68,PK,1696249247
127,qamdo,31.1667,97.2333,10.16,48,57,2.27,CN,1696249247
128,lospalos,-8.5186,127.0025,22.11,91,44,1.95,TL,1696249248
129,whitehorse,60.7161,-135.0538,5.43,86,75,5.14,CA,1696249164
130,kununurra,-15.7667,128.7333,27.99,57,15,3.09,AU,1696249248
131,turaif,31.6725,38.6637,24.14,43,75,6.17,SA,1696249249
132,crane,31.3974,-102.3501,21.81,79,67,7.7,US,1696249249
133,anadyr,64.75,177.4833,-4.72,80,0,2.0,RU,1696249249
134,sao joao da barra,-21.6403,-41.0511,23.05,89,100,2.32,BR,1696249250
135,praia da vitoria,38.7333,-27.0667,21.14,73,40,5.57,PT,1696249250
136,san antonio de pale,-1.4014,5.6325,25.27,86,100,5.37,GQ,1696249250
137,nemuro,43.3236,145.575,13.94,79,4,5.33,JP,1696249251
138,fort st. john,56.2499,-120.8529,5.94,87,40,3.09,CA,1696249194
139,puerto aysen,-45.4,-72.7,5.17,96,100,1.15,CL,1696249251
140,greymouth,-42.4667,171.2,8.12,86,95,3.63,NZ,1696249252
141,richards bay,-28.783,32.0377,23.02,44,17,6.05,ZA,1696248997
142,weno,7.4515,151.8468,26.97,83,75,1.54,FM,1696249252
143,peace river,56.2501,-117.286,9.81,89,100,3.09,CA,1696248974
144,dalandzadgad,43.5708,104.425,14.02,34,5,4.72,MN,1696249253
145,blackmans bay,-43.0167,147.3167,13.07,60,0,4.05,AU,1696249253
146,balsas,-7.5325,-46.0356,33.89,22,24,3.89,BR,1696249253
147,zaragoza,41.6561,-0.8773,28.34,49,0,5.14,ES,1696249254
148,seven pagodas,12.6264,80.1722,32.03,75,82,7.15,IN,1696249254
149,comodoro rivadavia,-45.8667,-67.5,9.92,37,0,2.06,AR,1696249254
150,kerikeri,-35.2268,173.9474,15.51,92,83,4.25,NZ,1696249255
151,brookings,44.3114,-96.7984,20.81,61,100,6.17,US,1696249147
152,constantia,44.1833,28.65,23.38,37,8,7.31,RO,1696249255
153,papatowai,-46.5619,169.4708,5.62,70,88,4.58,NZ,1696249256
154,la'ie,21.6477,-157.9253,26.98,79,35,0.89,US,1696249256
155,kuanda,56.3161,116.0806,-1.82,78,54,1.5,RU,1696249256
156,mangai,-4.05,19.5333,37.06,32,31,0.67,CD,1696249257
157,karak city,31.1637,35.762,23.03,44,77,5.46,JO,1696249257
158,tralee,52.2704,-9.7026,15.14,82,40,3.09,IE,1696249257
159,ibimirim,-8.5406,-37.6903,29.31,39,8,2.15,BR,1696249258
160,lihue,21.9789,-159.3672,23.77,82,20,3.6,US,1696249135
161,swedru,5.5371,-0.6998,28.99,72,71,2.96,GH,1696249258
162,ruayer,43.0537,-5.5502,26.44,28,2,4.56,ES,1696249259
163,ewo,-0.8725,14.8206,32.59,52,65,1.79,CG,1696249259
164,birao,10.2849,22.7882,32.99,50,82,3.02,CF,1696249259
165,vilyuchinsk,52.9306,158.4028,9.15,88,100,13.03,RU,1696249260
166,vorgashor,67.5833,63.95,8.54,91,100,7.63,RU,1696249260
167,colonia,50.9333,6.95,28.57,52,0,3.09,DE,1696249260
168,brisas de zicatela,15.8369,-97.0419,25.29,69,40,2.57,MX,1696249261
169,rongelap,11.1635,166.8941,28.44,81,96,6.29,MH,1696249261
170,luimneach,52.6647,-8.6231,15.04,75,100,2.98,IE,1696249261
171,lae,-6.7221,146.9847,25.63,91,100,3.47,PG,1696249262
172,val-d'or,48.1002,-77.7828,12.05,94,75,3.09,CA,1696249262
173,jamestown,42.097,-79.2353,15.01,100,0,0.0,US,1696249213
174,nova sintra,14.8667,-24.7167,24.17,78,73,3.51,CV,1696249263
175,east london,-33.0153,27.9116,22.52,60,0,8.75,ZA,1696249241
176,kondopoga,62.2057,34.2614,9.29,85,100,1.96,RU,1696249264
177,bontang,0.1333,117.5,27.35,77,81,3.86,ID,1696249264
178,bandundu,-3.3167,17.3667,37.92,35,49,0.5,CD,1696249264
179,sortavala,61.7053,30.6918,8.9,89,93,2.68,RU,1696249265
